name	type	units	sampling_frequency_effective	tracked_point	component	placement	tracking_system
t5_ornt_z	ORNT	rad	480.11918515748	LeftForeFoot	z	LeftForeFoot	OPTpos
t5_ornt_x	ORNT	rad	480.11918515748	LeftForeFoot	x	LeftForeFoot	OPTpos
t5_ornt_y	ORNT	rad	480.11918515748	LeftForeFoot	y	LeftForeFoot	OPTpos
t5_pos_x	POS	m	480.11918515748	LeftForeFoot	x	LeftForeFoot	OPTpos
t5_pos_y	POS	m	480.11918515748	LeftForeFoot	y	LeftForeFoot	OPTpos
t5_pos_z	POS	m	480.11918515748	LeftForeFoot	z	LeftForeFoot	OPTpos
t9_ornt_z	ORNT	rad	480.11918515748	RightForeFoot	z	RightForeFoot	OPTpos
t9_ornt_x	ORNT	rad	480.11918515748	RightForeFoot	x	RightForeFoot	OPTpos
t9_ornt_y	ORNT	rad	480.11918515748	RightForeFoot	y	RightForeFoot	OPTpos
t9_pos_x	POS	m	480.11918515748	RightForeFoot	x	RightForeFoot	OPTpos
t9_pos_y	POS	m	480.11918515748	RightForeFoot	y	RightForeFoot	OPTpos
t9_pos_z	POS	m	480.11918515748	RightForeFoot	z	RightForeFoot	OPTpos
t7_ornt_z	ORNT	rad	480.11918515748	RightLowerLeg	z	RightLowerLeg	OPTpos
t7_ornt_x	ORNT	rad	480.11918515748	RightLowerLeg	x	RightLowerLeg	OPTpos
t7_ornt_y	ORNT	rad	480.11918515748	RightLowerLeg	y	RightLowerLeg	OPTpos
t7_pos_x	POS	m	480.11918515748	RightLowerLeg	x	RightLowerLeg	OPTpos
t7_pos_y	POS	m	480.11918515748	RightLowerLeg	y	RightLowerLeg	OPTpos
t7_pos_z	POS	m	480.11918515748	RightLowerLeg	z	RightLowerLeg	OPTpos
t1_ornt_z	ORNT	rad	480.11918515748	Head	z	Head	OPTpos
t1_ornt_x	ORNT	rad	480.11918515748	Head	x	Head	OPTpos
t1_ornt_y	ORNT	rad	480.11918515748	Head	y	Head	OPTpos
t1_pos_x	POS	m	480.11918515748	Head	x	Head	OPTpos
t1_pos_y	POS	m	480.11918515748	Head	y	Head	OPTpos
t1_pos_z	POS	m	480.11918515748	Head	z	Head	OPTpos
t4_ornt_z	ORNT	rad	480.11918515748	LeftAnkle	z	LeftAnkle	OPTpos
t4_ornt_x	ORNT	rad	480.11918515748	LeftAnkle	x	LeftAnkle	OPTpos
t4_ornt_y	ORNT	rad	480.11918515748	LeftAnkle	y	LeftAnkle	OPTpos
t4_pos_x	POS	m	480.11918515748	LeftAnkle	x	LeftAnkle	OPTpos
t4_pos_y	POS	m	480.11918515748	LeftAnkle	y	LeftAnkle	OPTpos
t4_pos_z	POS	m	480.11918515748	LeftAnkle	z	LeftAnkle	OPTpos
t8_ornt_z	ORNT	rad	480.11918515748	RightAnkle	z	RightAnkle	OPTpos
t8_ornt_x	ORNT	rad	480.11918515748	RightAnkle	x	RightAnkle	OPTpos
t8_ornt_y	ORNT	rad	480.11918515748	RightAnkle	y	RightAnkle	OPTpos
t8_pos_x	POS	m	480.11918515748	RightAnkle	x	RightAnkle	OPTpos
t8_pos_y	POS	m	480.11918515748	RightAnkle	y	RightAnkle	OPTpos
t8_pos_z	POS	m	480.11918515748	RightAnkle	z	RightAnkle	OPTpos
t2_ornt_z	ORNT	rad	480.11918515748	LeftThigh	z	LeftThigh	OPTpos
t2_ornt_x	ORNT	rad	480.11918515748	LeftThigh	x	LeftThigh	OPTpos
t2_ornt_y	ORNT	rad	480.11918515748	LeftThigh	y	LeftThigh	OPTpos
t2_pos_x	POS	m	480.11918515748	LeftThigh	x	LeftThigh	OPTpos
t2_pos_y	POS	m	480.11918515748	LeftThigh	y	LeftThigh	OPTpos
t2_pos_z	POS	m	480.11918515748	LeftThigh	z	LeftThigh	OPTpos
t6_ornt_z	ORNT	rad	480.11918515748	RightThigh	z	RightThigh	OPTpos
t6_ornt_x	ORNT	rad	480.11918515748	RightThigh	x	RightThigh	OPTpos
t6_ornt_y	ORNT	rad	480.11918515748	RightThigh	y	RightThigh	OPTpos
t6_pos_x	POS	m	480.11918515748	RightThigh	x	RightThigh	OPTpos
t6_pos_y	POS	m	480.11918515748	RightThigh	y	RightThigh	OPTpos
t6_pos_z	POS	m	480.11918515748	RightThigh	z	RightThigh	OPTpos
t3_ornt_z	ORNT	rad	480.11918515748	LeftLowerLeg	z	LeftLowerLeg	OPTpos
t3_ornt_x	ORNT	rad	480.11918515748	LeftLowerLeg	x	LeftLowerLeg	OPTpos
t3_ornt_y	ORNT	rad	480.11918515748	LeftLowerLeg	y	LeftLowerLeg	OPTpos
t3_pos_x	POS	m	480.11918515748	LeftLowerLeg	x	LeftLowerLeg	OPTpos
t3_pos_y	POS	m	480.11918515748	LeftLowerLeg	y	LeftLowerLeg	OPTpos
t3_pos_z	POS	m	480.11918515748	LeftLowerLeg	z	LeftLowerLeg	OPTpos
