onset	duration	trial_type	value	sample
28.8	5.0	Tapping/Right	3	225
61.824	5.0	Tapping/Right	3	483
92.032	5.0	Tapping/Right	3	719
119.424	5.0	Control	1	933
144.256	5.0	Control	1	1127
172.672	5.0	Tapping/Left	2	1349
208.256	5.0	Tapping/Left	2	1627
233.472	5.0	Tapping/Right	3	1824
272.128	5.0	Tapping/Right	3	2126
309.888	5.0	Tapping/Right	3	2421
338.56	5.0	Tapping/Left	2	2645
367.616	5.0	Tapping/Left	2	2872
396.544	5.0	Tapping/Right	3	3098
432.512	5.0	Control	1	3379
462.592	5.0	Tapping/Right	3	3614
496.128	5.0	Tapping/Right	3	3876
528.384	5.0	Tapping/Left	2	4128
566.016	5.0	Control	1	4422
600.704	5.0	Control	1	4693
637.44	5.0	Control	1	4980
670.976	5.0	Control	1	5242
704.128	5.0	Control	1	5501
733.184	5.0	Tapping/Left	2	5728
764.16	5.0	Tapping/Left	2	5970
793.6	5.0	Control	1	6200
830.464	5.0	Control	1	6488
856.832	5.0	Tapping/Left	2	6694
883.84	5.0	Tapping/Left	2	6905
910.976	5.0	Tapping/Right	3	7117
936.832	5.0	Control	1	7319
966.784	5.0	Tapping/Left	2	7553
993.792	5.0	Tapping/Left	2	7764
1030.912	5.0	Control	1	8054
1056.512	5.0	Control	1	8254
1081.856	5.0	Control	1	8452
1112.96	5.0	Tapping/Left	2	8695
1150.592	5.0	Tapping/Left	2	8989
1185.152	5.0	Tapping/Left	2	9259
1214.464	5.0	Tapping/Left	2	9488
1248.128	5.0	Control	1	9751
1280.0	5.0	Control	1	10000
1314.944	5.0	Tapping/Left	2	10273
1341.44	5.0	Tapping/Left	2	10480
1372.544	5.0	Tapping/Right	3	10723
1400.32	5.0	Tapping/Right	3	10940
1427.2	5.0	Tapping/Right	3	11150
1466.112	5.0	Control	1	11454
1499.264	5.0	Control	1	11713
1534.848	5.0	Tapping/Right	3	11991
1573.376	5.0	Tapping/Right	3	12292
1606.016	5.0	Tapping/Left	2	12547
1644.032	5.0	Control	1	12844
1670.528	5.0	Tapping/Right	3	13051
1707.264	5.0	Tapping/Left	2	13338
1744.256	5.0	Tapping/Left	2	13627
1776.64	5.0	Control	1	13880
1811.456	5.0	Control	1	14152
1848.448	5.0	Tapping/Left	2	14441
1873.28	5.0	Tapping/Right	3	14635
1908.608	5.0	Tapping/Right	3	14911
1936.896	5.0	Control	1	15132
1961.856	5.0	Tapping/Left	2	15327
1999.872	5.0	Tapping/Right	3	15624
2033.664	5.0	Tapping/Right	3	15888
2070.528	5.0	Tapping/Right	3	16176
2097.792	5.0	Tapping/Right	3	16389
2133.504	5.0	Tapping/Right	3	16668
2169.856	5.0	Tapping/Right	3	16952
2204.928	5.0	Tapping/Right	3	17226
2233.344	5.0	Tapping/Left	2	17448
2269.952	5.0	Tapping/Left	2	17734
2296.32	5.0	Tapping/Left	2	17940
2335.104	5.0	Control	1	18243
2366.592	5.0	Tapping/Right	3	18489
2402.816	5.0	Tapping/Left	2	18772
2434.944	5.0	Tapping/Right	3	19023
2464.128	5.0	Control	1	19251
2489.984	5.0	Tapping/Left	2	19453
2525.184	5.0	Control	1	19728
2561.28	5.0	Tapping/Right	3	20010
2600.192	5.0	Control	1	20314
2625.792	5.0	Control	1	20514
2650.624	5.0	Tapping/Right	3	20708
2678.144	5.0	Tapping/Left	2	20923
2716.288	5.0	Tapping/Left	2	21221
2749.056	5.0	Control	1	21477
2776.704	5.0	Control	1	21693
2811.264	5.0	Tapping/Left	2	21963
2838.656	5.0	Tapping/Right	3	22177
2875.392	5.0	Control	1	22464
