onset	duration	label	channels
n/a	n/a	chan_manual	["EEG009","EEG010","EEG011","EEG012","EEG014","EEG015","EEG023","EEG024","EEG025","EEG026","EEG036","EEG037","EEG042","EEG048","EEG049","EEG094","EEG095","EEG097","EEG098","EEG119","EEG120","EEG123","EEG124","EEG125","EEG126","EEG127","EEG128"]
n/a	n/a	chan_ch_sd	["EEG042","EEG119","EEG120","EEG123","EEG124","EEG125","EEG126"]
n/a	n/a	chan_bridge	["EEG009","EEG010","EEG011","EEG012","EEG014","EEG015","EEG023","EEG024","EEG025","EEG026","EEG036","EEG037","EEG048","EEG049","EEG094","EEG095","EEG097","EEG098","EEG127","EEG128"]
n/a	n/a	chan_rank	["EEG121"]
n/a	n/a	comp_manual	["ICA002","ICA008","ICA010","ICA011","ICA012","ICA015","ICA018","ICA019","ICA020","ICA022","ICA024","ICA026","ICA027","ICA028","ICA029","ICA030","ICA031","ICA033","ICA034","ICA035","ICA036","ICA037","ICA039","ICA040","ICA041","ICA042","ICA043","ICA044","ICA045","ICA046","ICA047","ICA048","ICA049","ICA051","ICA052","ICA053","ICA054","ICA055","ICA056","ICA057","ICA058","ICA059","ICA060","ICA061","ICA062","ICA063","ICA064","ICA065","ICA066","ICA067","ICA068","ICA069","ICA070","ICA071","ICA072","ICA073","ICA074","ICA075","ICA076","ICA077","ICA078","ICA079","ICA080","ICA081","ICA082","ICA083","ICA084","ICA085","ICA086","ICA087","ICA088","ICA089","ICA090","ICA091","ICA092","ICA093","ICA094","ICA095","ICA096","ICA097","ICA098","ICA099","ICA100"]
n/a	n/a	comp_ic_rt	["ICA004","ICA007","ICA023","ICA038","ICA048","ICA049","ICA050","ICA052","ICA055","ICA057","ICA058","ICA063","ICA065","ICA069","ICA071","ICA072","ICA073","ICA075","ICA078","ICA079","ICA080","ICA085","ICA089","ICA092","ICA095","ICA097","ICA098"]
n/a	n/a	comp_brain	["ICA001","ICA003","ICA004","ICA005","ICA007","ICA013","ICA016","ICA017","ICA021","ICA023","ICA025","ICA032","ICA038","ICA050","ICA073","ICA075"]
n/a	n/a	comp_muscle	["ICA014","ICA020","ICA028","ICA029","ICA033","ICA034","ICA036","ICA040","ICA043","ICA081"]
n/a	n/a	comp_eye	["ICA002","ICA030"]
n/a	n/a	comp_line_noise	["ICA012","ICA082"]
n/a	n/a	comp_chan_noise	["ICA008","ICA010","ICA011","ICA015","ICA018","ICA019","ICA022","ICA024","ICA026","ICA027","ICA031","ICA035","ICA037","ICA039","ICA041","ICA042","ICA044","ICA045","ICA046","ICA047","ICA048","ICA049","ICA051","ICA052","ICA053","ICA054","ICA055","ICA056","ICA057","ICA058","ICA059","ICA060","ICA061","ICA062","ICA063","ICA064","ICA065","ICA066","ICA067","ICA068","ICA069","ICA070","ICA071","ICA072","ICA076","ICA077","ICA078","ICA079","ICA080","ICA083","ICA084","ICA085","ICA086","ICA087","ICA088","ICA089","ICA090","ICA091","ICA092","ICA093","ICA094","ICA095","ICA096","ICA097","ICA098","ICA099","ICA100"]
n/a	n/a	comp_other	["ICA006","ICA009","ICA074"]
0.0019531	24.7324	manual	n/a
0.0019531	17.7324	out_task	n/a
16.7305	8.0039	in_leadup_fhbc_fade	n/a
17.7324	219.6152	in_task_fhbc_fade	n/a
237.3457	48.498	manual	n/a
237.3457	41.498	out_task	n/a
277.8398	8.0039	in_leadup_fhbc_fade	n/a
278.8418	227.1758	in_task_fhbc_fade	n/a
326.002	1.002	ic_hg	n/a
503.002	46.4121	manual	n/a
506.0156	36.3984	out_task	n/a
541.4102	8.0039	in_leadup_fhbc_fade	n/a
542.4121	225.043	in_task_fhbc_fade	n/a
555.002	3.002	manual	n/a
579.002	1.002	ic_hg	n/a
764.002	75.1602	manual	n/a
767.4531	64.709	out_task	n/a
831.1582	8.0039	in_leadup_fhbc_fade	n/a
832.1602	222.7793	in_task_fhbc_fade	n/a
915.002	1.002	ic_hg	n/a
938.002	1.002	ic_hg	n/a
1032.002	1.002	ic_hg	n/a
1052.002	37.6484	manual	n/a
1054.9375	27.7129	out_task	n/a
1081.6465	8.0039	in_leadup_fhbc_onset	n/a
1082.6484	268.1621	in_task_fhbc_onset	n/a
1156.6523	1.8613	manual	n/a
1350.8086	41.6816	manual	n/a
1350.8086	34.6816	out_task	n/a
1384.4863	8.0039	in_leadup_fhbc_onset	n/a
1385.4883	270.959	in_task_fhbc_onset	n/a
1405.8281	3.6895	manual	n/a
1406.002	3.002	ic_hg	n/a
1406.002	1.002	ic_lg	n/a
1656.4453	38.2793	manual	n/a
1656.4453	31.2793	out_task	n/a
1686.7207	8.0039	in_leadup_fhbc_onset	n/a
1687.7227	268.1465	in_task_fhbc_onset	n/a
1953.002	40.4121	manual	n/a
1955.8672	30.5469	out_task	n/a
1985.4102	8.0039	in_leadup_fhbc_onset	n/a
1986.4121	269.9453	in_task_fhbc_onset	n/a
2254.002	11.002	manual	n/a
2256.3555	8.6484	out_task	n/a
