filename	acq_time
eeg/sub-67_ses-stand_task-dualWalking_eeg.vhdr	1800-12-31T05:05:05.000
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace1_motion.tsv	1800-12-31T05:05:05.050
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace2_motion.tsv	1800-12-31T05:05:05.029
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace3_motion.tsv	1800-12-31T05:05:05.029
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace4_motion.tsv	1800-12-31T05:05:05.048
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace5_motion.tsv	1800-12-31T05:05:05.048
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace6_motion.tsv	1800-12-31T05:05:05.029
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace7_motion.tsv	1800-12-31T05:05:05.029
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace8_motion.tsv	1800-12-31T05:05:05.048
motion/sub-67_ses-stand_task-dualWalking_tracksys-PhaseSpace9_motion.tsv	1800-12-31T05:05:05.029
