onset	duration	trial_type	TrialType	SSD
0.000	1.500	junk	0	0.000
2.000	1.500	go	0	0.000
4.250	1.500	go	0	0.000
8.625	1.500	failed stop	1	0.395
12.375	1.500	go	0	0.000
15.250	1.500	go	0	0.000
18.250	1.500	failed stop	1	0.275
21.250	1.500	go	0	0.000
23.375	1.500	go	0	0.000
26.375	1.500	go	0	0.000
28.625	1.500	go	0	0.000
31.250	1.500	successful stop	1	0.315
34.875	1.500	successful stop	1	0.275
38.125	1.500	go	0	0.000
40.250	1.500	go	0	0.000
42.250	1.500	go	0	0.000
45.250	1.500	go	0	0.000
47.500	1.500	go	0	0.000
49.500	1.500	go	0	0.000
52.875	1.500	failed stop	1	0.355
55.750	1.500	go	0	0.000
58.375	1.500	go	0	0.000
62.500	1.500	successful stop	1	0.395
64.875	1.500	go	0	0.000
69.125	1.500	go	0	0.000
71.125	1.500	go	0	0.000
73.250	1.500	go	0	0.000
76.250	1.500	successful stop	1	0.395
80.125	1.500	go	0	0.000
82.500	1.500	failed stop	1	0.315
85.125	1.500	go	0	0.000
87.750	1.500	go	0	0.000
90.250	1.500	go	0	0.000
92.375	1.500	go	0	0.000
94.375	1.500	failed stop	1	0.315
97.625	1.500	go	0	0.000
101.000	1.500	failed stop	1	0.355
105.750	1.500	go	0	0.000
108.875	1.500	go	0	0.000
111.250	1.500	go	0	0.000
114.250	1.500	successful stop	1	0.315
118.000	1.500	go	0	0.000
120.125	1.500	go	0	0.000
122.625	1.500	go	0	0.000
125.250	1.500	go	0	0.000
129.125	1.500	go	0	0.000
131.250	1.500	go	0	0.000
133.375	1.500	failed stop	1	0.315
136.000	1.500	go	0	0.000
139.125	1.500	go	0	0.000
142.000	1.500	failed stop	1	0.395
144.125	1.500	go	0	0.000
146.625	1.500	go	0	0.000
149.250	1.500	failed stop	1	0.355
151.875	1.500	go	0	0.000
154.250	1.500	go	0	0.000
158.375	1.500	failed stop	1	0.395
162.375	1.500	go	0	0.000
166.125	1.500	go	0	0.000
169.000	1.500	go	0	0.000
171.000	1.500	go	0	0.000
173.625	1.500	failed stop	1	0.355
176.500	1.500	go	0	0.000
178.500	1.500	go	0	0.000
180.500	1.500	go	0	0.000
182.750	1.500	go	0	0.000
185.750	1.500	go	0	0.000
189.750	1.500	failed stop	1	0.275
192.250	1.500	successful stop	1	0.275
194.750	1.500	go	0	0.000
197.375	1.500	go	0	0.000
200.250	1.500	go	0	0.000
202.875	1.500	failed stop	1	0.355
206.000	1.500	go	0	0.000
210.625	1.500	go	0	0.000
212.875	1.500	go	0	0.000
215.375	1.500	go	0	0.000
218.250	1.500	failed stop	1	0.395
220.375	1.500	go	0	0.000
222.750	1.500	go	0	0.000
225.625	1.500	failed stop	1	0.355
229.500	1.500	go	0	0.000
233.375	1.500	go	0	0.000
236.000	1.500	go	0	0.000
238.000	1.500	successful stop	1	0.395
242.750	1.500	go	0	0.000
246.125	1.500	go	0	0.000
248.625	1.500	go	0	0.000
250.750	1.500	go	0	0.000
256.000	1.500	failed stop	1	0.315
260.750	1.500	go	0	0.000
262.875	1.500	go	0	0.000
265.000	1.500	go	0	0.000
267.250	1.500	go	0	0.000
270.000	1.500	go	0	0.000
273.250	1.500	failed stop	1	0.395
275.750	1.500	failed stop	1	0.355
278.000	1.500	go	0	0.000
280.250	1.500	go	0	0.000
282.500	1.500	go	0	0.000
284.500	1.500	go	0	0.000
287.000	1.500	failed stop	1	0.275
289.125	1.500	go	0	0.000
291.250	1.500	go	0	0.000
293.375	1.500	go	0	0.000
295.625	1.500	go	0	0.000
297.875	1.500	go	0	0.000
299.875	1.500	successful stop	1	0.315
302.625	1.500	go	0	0.000
307.000	1.500	successful stop	1	0.355
311.625	1.500	go	0	0.000
314.125	1.500	go	0	0.000
316.875	1.500	go	0	0.000
320.000	1.500	go	0	0.000
322.000	1.500	go	0	0.000
325.750	1.500	successful stop	1	0.275
329.875	1.500	failed stop	1	0.275
332.750	1.500	go	0	0.000
334.750	1.500	go	0	0.000
338.625	1.500	go	0	0.000
342.000	1.500	successful stop	1	0.275
344.875	1.500	go	0	0.000
346.875	1.500	go	0	0.000
350.125	1.500	go	0	0.000
352.125	1.500	successful stop	1	0.315
354.375	1.500	go	0	0.000
357.375	1.500	go	0	0.000
359.375	1.500	go	0	0.000
