onset	duration	label	channels
n/a	n/a	chan_manual	["EEG009","EEG010","EEG048","EEG049","EEG050","EEG051","EEG059","EEG060","EEG106","EEG107","EEG127","EEG128"]
n/a	n/a	chan_bridge	["EEG009","EEG010","EEG048","EEG049","EEG050","EEG051","EEG059","EEG060","EEG106","EEG107","EEG127","EEG128"]
n/a	n/a	chan_rank	["EEG072"]
n/a	n/a	comp_manual	["ICA001","ICA004","ICA022","ICA023","ICA036","ICA040","ICA041","ICA044","ICA054","ICA061","ICA062","ICA064","ICA066","ICA074","ICA077","ICA082","ICA083","ICA084","ICA092","ICA095","ICA096","ICA099","ICA101","ICA103","ICA105","ICA106","ICA114","ICA115"]
n/a	n/a	comp_ic_rt	["ICA009","ICA011","ICA012","ICA013","ICA014","ICA016","ICA017","ICA018","ICA019","ICA020","ICA021","ICA023","ICA024","ICA025","ICA026","ICA027","ICA029","ICA030","ICA031","ICA032","ICA033","ICA034","ICA035","ICA037","ICA038","ICA039","ICA042","ICA043","ICA045","ICA046","ICA047","ICA048","ICA049","ICA050","ICA052","ICA053","ICA055","ICA056","ICA057","ICA058","ICA059","ICA060","ICA063","ICA065","ICA067","ICA068","ICA069","ICA071","ICA072","ICA073","ICA074","ICA075","ICA076","ICA078","ICA079","ICA080","ICA085","ICA087","ICA088","ICA090","ICA091","ICA093","ICA094","ICA097","ICA100","ICA102","ICA108","ICA109","ICA110","ICA113"]
n/a	n/a	comp_brain	["ICA002","ICA003","ICA005","ICA006","ICA007","ICA008","ICA009","ICA010","ICA011","ICA012","ICA013","ICA014","ICA017","ICA019","ICA020","ICA021","ICA024","ICA030","ICA032","ICA033","ICA037","ICA039","ICA042","ICA043","ICA050","ICA059","ICA073"]
n/a	n/a	comp_eye	["ICA001","ICA044","ICA066"]
n/a	n/a	comp_heart	["ICA004"]
n/a	n/a	comp_chan_noise	["ICA036","ICA040","ICA041","ICA061","ICA074","ICA083","ICA096","ICA099","ICA101","ICA103","ICA105","ICA106","ICA114","ICA115"]
n/a	n/a	comp_other	["ICA015","ICA016","ICA018","ICA022","ICA023","ICA025","ICA026","ICA027","ICA028","ICA029","ICA031","ICA034","ICA035","ICA038","ICA045","ICA046","ICA047","ICA048","ICA049","ICA051","ICA052","ICA053","ICA054","ICA055","ICA056","ICA057","ICA058","ICA060","ICA062","ICA063","ICA064","ICA065","ICA067","ICA068","ICA069","ICA070","ICA071","ICA072","ICA075","ICA076","ICA077","ICA078","ICA079","ICA080","ICA081","ICA082","ICA084","ICA085","ICA086","ICA087","ICA088","ICA089","ICA090","ICA091","ICA092","ICA093","ICA094","ICA095","ICA097","ICA098","ICA100","ICA102","ICA104","ICA107","ICA108","ICA109","ICA110","ICA111","ICA112","ICA113"]
