onset	duration	trial_type	TrialType	Stimulus	SSD	Response	response_time	CorrectGo	SuccStop
0.000	n/a	n/a	0	1	0.000	50	0.572	1	0
2.000	1.500	go	0	1	0.000	50	0.486	1	0
4.250	1.500	go	0	0	0.000	49	0.387	1	0
8.625	1.500	failed stop	1	0	0.200	49	0.556	1	0
12.375	1.500	go	0	0	0.000	49	0.510	1	0
15.250	1.500	go	0	1	0.000	50	0.491	1	0
18.250	1.500	successful stop	1	0	0.150	0	0.000	0	1
21.250	1.500	go	0	1	0.000	50	0.363	1	0
23.375	1.500	go	0	1	0.000	50	0.478	1	0
26.375	1.500	go	0	1	0.000	50	0.470	1	0
28.625	1.500	go	0	0	0.000	49	0.532	1	0
31.250	1.500	successful stop	1	0	0.100	0	0.000	0	1
34.875	1.500	failed stop	1	0	0.250	49	0.442	1	0
38.125	1.500	go	0	0	0.000	49	0.488	1	0
40.250	1.500	go	0	1	0.000	50	0.595	1	0
42.250	1.500	go	0	1	0.000	50	0.435	1	0
45.250	1.500	go	0	0	0.000	49	0.608	1	0
47.500	1.500	go	0	1	0.000	50	0.361	1	0
49.500	1.500	go	0	0	0.000	49	0.321	1	0
52.875	1.500	successful stop	1	1	0.200	0	0.000	0	1
55.750	1.500	go	0	1	0.000	50	0.375	1	0
58.375	1.500	go	0	0	0.000	49	0.366	1	0
62.500	1.500	successful stop	1	1	0.150	0	0.000	0	1
64.875	1.500	go	0	0	0.000	49	0.226	1	0
69.125	1.500	go	0	0	0.000	49	0.464	1	0
71.125	1.500	go	0	0	0.000	49	0.384	1	0
73.250	1.500	go	0	1	0.000	50	0.379	1	0
76.250	1.500	successful stop	1	1	0.150	0	0.000	0	1
80.125	1.500	go	0	1	0.000	50	0.512	1	0
82.500	1.500	failed stop	1	1	0.200	50	0.401	1	0
85.125	1.500	go	0	0	0.000	49	0.440	1	0
87.750	1.500	go	0	0	0.000	49	0.455	1	0
90.250	1.500	go	0	1	0.000	50	0.384	1	0
92.375	1.500	go	0	0	0.000	49	0.414	1	0
94.375	1.500	successful stop	1	0	0.200	0	0.000	0	1
97.625	1.500	go	0	1	0.000	50	0.516	1	0
101.000	1.500	successful stop	1	0	0.200	0	0.000	0	1
105.750	1.500	go	0	1	0.000	50	0.367	1	0
108.875	1.500	go	0	1	0.000	50	0.386	1	0
111.250	1.500	go	0	0	0.000	49	0.395	1	0
114.250	1.500	successful stop	1	0	0.150	0	0.000	0	1
118.000	1.500	go	0	0	0.000	49	0.437	1	0
120.125	1.500	go	0	1	0.000	50	0.432	1	0
122.625	1.500	go	0	1	0.000	50	0.436	1	0
125.250	1.500	go	0	0	0.000	49	0.403	1	0
129.125	1.500	go	0	1	0.000	50	0.416	1	0
131.250	1.500	go	0	1	0.000	50	0.339	1	0
133.375	1.500	failed stop	1	0	0.250	49	0.310	1	0
136.000	1.500	go	0	1	0.000	50	0.338	1	0
139.125	1.500	go	0	1	0.000	50	0.408	1	0
142.000	1.500	successful stop	1	0	0.200	0	0.000	0	1
144.125	1.500	go	0	0	0.000	49	0.400	1	0
146.625	1.500	go	0	0	0.000	49	0.388	1	0
149.250	1.500	successful stop	1	0	0.200	0	0.000	0	1
151.875	1.500	go	0	1	0.000	50	0.354	1	0
154.250	1.500	go	0	1	0.000	50	0.491	1	0
158.375	1.500	successful stop	1	0	0.250	0	0.000	0	1
162.375	1.500	go	0	1	0.000	50	0.446	1	0
166.125	1.500	go	0	1	0.000	50	0.416	1	0
169.000	1.500	go	0	0	0.000	49	0.397	1	0
171.000	1.500	go	0	1	0.000	50	0.421	1	0
173.625	1.500	successful stop	1	0	0.250	0	0.000	0	1
176.500	1.500	go	0	0	0.000	49	0.377	1	0
178.500	1.500	go	0	1	0.000	50	0.417	1	0
180.500	1.500	go	0	0	0.000	49	0.358	1	0
182.750	1.500	go	0	0	0.000	49	0.439	1	0
185.750	1.500	go	0	1	0.000	50	0.463	1	0
189.750	1.500	failed stop	1	1	0.300	50	0.391	1	0
192.250	1.500	successful stop	1	1	0.250	0	0.000	0	1
194.750	1.500	go	0	0	0.000	49	0.455	1	0
197.375	1.500	go	0	0	0.000	49	0.430	1	0
200.250	1.500	go	0	1	0.000	50	0.379	1	0
202.875	1.500	failed stop	1	1	0.300	50	0.418	1	0
206.000	1.500	go	0	0	0.000	49	0.517	1	0
210.625	1.500	go	0	0	0.000	49	0.540	1	0
212.875	1.500	go	0	1	0.000	50	0.394	1	0
215.375	1.500	go	0	0	0.000	49	0.510	1	0
218.250	1.500	failed stop	1	1	0.250	50	0.395	1	0
220.375	1.500	go	0	1	0.000	50	0.550	1	0
222.750	1.500	go	0	0	0.000	49	0.455	1	0
225.625	1.500	successful stop	1	1	0.250	0	0.000	0	1
229.500	1.500	go	0	1	0.000	50	0.417	1	0
233.375	1.500	go	0	0	0.000	49	0.598	1	0
236.000	1.500	go	0	0	0.000	49	0.509	1	0
238.000	1.500	successful stop	1	1	0.200	0	0.000	0	1
242.750	1.500	go	0	0	0.000	49	0.381	1	0
246.125	1.500	go	0	1	0.000	50	0.400	1	0
248.625	1.500	go	0	0	0.000	49	0.428	1	0
250.750	1.500	junk	0	0	0.000	50	0.319	0	0
256.000	1.500	successful stop	1	1	0.300	0	0.000	0	1
260.750	1.500	go	0	0	0.000	49	0.375	1	0
262.875	1.500	go	0	1	0.000	50	0.458	1	0
265.000	1.500	go	0	0	0.000	49	0.373	1	0
267.250	1.500	go	0	0	0.000	49	0.403	1	0
270.000	1.500	go	0	1	0.000	50	0.549	1	0
273.250	1.500	successful stop	1	1	0.250	0	0.000	0	1
275.750	1.500	failed stop	1	0	0.250	49	0.300	1	0
278.000	1.500	go	0	1	0.000	50	0.405	1	0
280.250	1.500	go	0	0	0.000	49	0.291	1	0
282.500	1.500	go	0	1	0.000	50	0.369	1	0
284.500	1.500	go	0	0	0.000	49	0.337	1	0
287.000	1.500	failed stop	1	0	0.350	49	0.421	1	0
289.125	1.500	go	0	1	0.000	50	0.496	1	0
291.250	1.500	go	0	1	0.000	50	0.515	1	0
293.375	1.500	go	0	1	0.000	50	0.574	1	0
295.625	1.500	go	0	1	0.000	50	0.444	1	0
297.875	1.500	go	0	0	0.000	49	0.394	1	0
299.875	1.500	successful stop	1	0	0.300	0	0.000	0	1
302.625	1.500	go	0	0	0.000	49	0.444	1	0
307.000	1.500	successful stop	1	0	0.300	0	0.000	0	1
311.625	1.500	go	0	1	0.000	50	0.340	1	0
314.125	1.500	go	0	1	0.000	50	0.472	1	0
316.875	1.500	go	0	0	0.000	49	0.343	1	0
320.000	1.500	go	0	0	0.000	49	0.717	1	0
322.000	1.500	go	0	1	0.000	50	0.445	1	0
325.750	1.500	successful stop	1	1	0.300	0	0.000	0	1
329.875	1.500	failed stop	1	1	0.350	50	0.434	1	0
332.750	1.500	go	0	1	0.000	50	0.543	1	0
334.750	1.500	go	0	0	0.000	49	0.423	1	0
338.625	1.500	go	0	0	0.000	49	0.388	1	0
342.000	1.500	failed stop	1	1	0.350	50	0.397	1	0
344.875	1.500	go	0	0	0.000	49	0.426	1	0
346.875	1.500	go	0	1	0.000	50	0.450	1	0
350.125	1.500	go	0	0	0.000	49	0.464	1	0
352.125	1.500	failed stop	1	1	0.200	50	0.368	1	0
354.375	1.500	go	0	1	0.000	50	0.526	1	0
357.375	1.500	go	0	0	0.000	49	0.526	1	0
359.375	1.500	go	0	0	0.000	49	0.430	1	0
