onset	duration	label	channels
n/a	n/a	chan_manual	["EEG009","EEG010","EEG011","EEG012","EEG025","EEG026","EEG128"]
n/a	n/a	chan_bridge	["EEG009","EEG010","EEG011","EEG012","EEG025","EEG026","EEG128"]
n/a	n/a	chan_rank	["EEG127"]
n/a	n/a	comp_manual	["ICA002","ICA007","ICA010","ICA013","ICA014","ICA016","ICA020","ICA021","ICA024","ICA031","ICA033","ICA034","ICA035","ICA038","ICA039","ICA040","ICA042","ICA044","ICA045","ICA048","ICA049","ICA050","ICA053","ICA054","ICA055","ICA058","ICA059","ICA060","ICA061","ICA062","ICA063","ICA066","ICA067","ICA068","ICA070","ICA071","ICA072","ICA073","ICA074","ICA075","ICA077","ICA078","ICA079","ICA080","ICA081","ICA082","ICA083","ICA084","ICA085","ICA086","ICA087","ICA088","ICA090","ICA091","ICA092","ICA093","ICA094","ICA095","ICA096","ICA097","ICA099","ICA100","ICA101","ICA103","ICA104","ICA105","ICA106","ICA107","ICA108","ICA110","ICA111","ICA112","ICA113","ICA114","ICA115","ICA117","ICA118","ICA119","ICA120"]
n/a	n/a	comp_ic_rt	["ICA005","ICA009","ICA011","ICA012","ICA015","ICA017","ICA018","ICA022","ICA023","ICA025","ICA026","ICA027","ICA028","ICA029","ICA030","ICA031","ICA033","ICA035","ICA036","ICA037","ICA038","ICA039","ICA041","ICA043","ICA044","ICA045","ICA046","ICA047","ICA049","ICA050","ICA051","ICA052","ICA054","ICA057","ICA058","ICA062","ICA063","ICA064","ICA065","ICA069","ICA070","ICA072","ICA073","ICA076","ICA077","ICA082","ICA085","ICA089","ICA091","ICA093","ICA097","ICA098","ICA102","ICA106","ICA107","ICA108","ICA109","ICA112","ICA113","ICA115","ICA117","ICA118","ICA119"]
n/a	n/a	comp_brain	["ICA001","ICA003","ICA004","ICA005","ICA006","ICA008","ICA009","ICA011","ICA012","ICA015","ICA017","ICA018","ICA019","ICA022","ICA023","ICA025","ICA026","ICA027","ICA028","ICA029","ICA030","ICA032","ICA037","ICA041","ICA043","ICA046","ICA047","ICA051","ICA052","ICA057","ICA064","ICA069","ICA076","ICA089","ICA098","ICA109","ICA116"]
n/a	n/a	comp_muscle	["ICA010","ICA013","ICA014","ICA016","ICA020","ICA021","ICA031","ICA040","ICA055","ICA060","ICA075","ICA080","ICA081","ICA084","ICA096","ICA100"]
n/a	n/a	comp_eye	["ICA002","ICA007","ICA048","ICA101"]
n/a	n/a	comp_chan_noise	["ICA024","ICA033","ICA034","ICA035","ICA038","ICA039","ICA042","ICA044","ICA045","ICA049","ICA050","ICA053","ICA054","ICA058","ICA059","ICA061","ICA062","ICA063","ICA066","ICA067","ICA068","ICA070","ICA071","ICA072","ICA073","ICA074","ICA077","ICA078","ICA079","ICA082","ICA083","ICA085","ICA086","ICA087","ICA088","ICA090","ICA091","ICA092","ICA093","ICA094","ICA095","ICA097","ICA099","ICA103","ICA104","ICA105","ICA106","ICA107","ICA108","ICA110","ICA111","ICA112","ICA113","ICA114","ICA115","ICA117","ICA118","ICA119","ICA120"]
n/a	n/a	comp_other	["ICA036","ICA056","ICA065","ICA102"]
0.0019531	21.3633	manual	n/a
0.0019531	14.3633	out_task	n/a
13.3633	8.002	in_leadup_fhbc_fade	n/a
14.3652	225.3086	in_task_fhbc_fade	n/a
239.6738	40.9102	manual	n/a
239.6738	33.9102	out_task	n/a
272.582	8.002	in_leadup_fhbc_fade	n/a
273.584	224.9082	in_task_fhbc_fade	n/a
498.4922	37.0879	manual	n/a
498.4922	30.0879	out_task	n/a
527.5781	8.002	in_leadup_fhbc_fade	n/a
528.5801	221.6953	in_task_fhbc_fade	n/a
750.2754	39.9785	manual	n/a
750.2754	32.9785	out_task	n/a
782.252	8.002	in_leadup_fhbc_fade	n/a
783.2539	223.8594	in_task_fhbc_fade	n/a
1007.1133	33.0918	manual	n/a
1007.1133	26.0918	out_task	n/a
1032.2031	8.002	in_leadup_fhbc_onset	n/a
1033.2051	272.209	in_task_fhbc_onset	n/a
1305.4141	31.8066	manual	n/a
1305.4141	24.8066	out_task	n/a
1329.2188	8.002	in_leadup_fhbc_onset	n/a
1330.2207	269.8438	in_task_fhbc_onset	n/a
1598.002	40.541	manual	n/a
1600.0645	31.4785	out_task	n/a
1630.541	8.002	in_leadup_fhbc_onset	n/a
1631.543	271.2402	in_task_fhbc_onset	n/a
1902.7832	39.4941	manual	n/a
1902.7832	32.4941	out_task	n/a
1934.2754	8.002	in_leadup_fhbc_onset	n/a
1935.2773	269.5938	in_task_fhbc_onset	n/a
2000.002	4	manual	n/a
2204.8711	15.1309	manual	n/a
2204.8711	15.1309	out_task	n/a
